SampleID_old,DatabaseCode,SampleID,StationCode,SampleDate,SampleDate,Replicate,S2,S2QCmin,D18,D18QCmin,H20,H20QCmin,SoftAlgaeSampleTypesPresent,QualPresent,DiatomSamplePresent,totalDiatomCount,EntityCount,DiatomCountFlag,SoftAlgaeEntityCountFlag,numberPurged,purgedTaxa,propAchMin,QCsedtolPropValvesWithTraits,RAWsedtolhigh,QChaloPropValvesWithTraits,RAWhalo,QCsaprobityPropValvesWithTraits,RAWsapro,QCDOPropValvesWithTraits,RAWDO50,RAWDO100,QCTrophicStatePropValvesWithTraits,RAWeutro,QCNhetPropValvesWithTraits,RAWNhet,QCPtraitPropValvesWithTraits,RAWlowP,QCNtraitPropValvesWithTraits,RAWlowN,QCMotilityPropValvesWithTraits,RAWhighlymot,SCALEDAchMin,SCALEDsedtolhigh,SCALEDhalo,SCALEDsapro,SCALEDDO50,SCALEDDO100,SCALEDeutro,SCALEDNhet,SCALEDlowP,SCALEDlowN,SCALEDhighlymot,highDOCbRAW,highDOCbQCpropBiovolWithTraits,highDOCbQCpropTaxaWithTraits,nonrefbRAW,nonrefbQCpropBiovolWithTraits,nonrefbQCpropTaxaWithTraits,propBiovolChlorRAW,propBiovolChlorQCpropBiovolWithTraits,propBiovolChlorQCpropTaxaWithTraits,highCuspRAW,highCuspQCpropBiovolWithTraits,highCuspQCpropTaxaWithTraits,highDOCspRAW,highDOCspQCpropBiovolWithTraits,highDOCspQCpropTaxaWithTraits,nonrefspRAW,nonrefspQCpropBiovolWithTraits,nonrefspQCpropTaxaWithTraits,lowTPspRAW,lowTPspQCpropBiovolWithTraits,lowTPspQCpropTaxaWithTraits,propBiovolZHRRAW,propBiovolZHRQCpropBiovolWithTraits,propBiovolZHRQCpropTaxaWithTraits,propTaxaZHRspRAW,meanZHRRAW,totalBiovolGreenRAW,totalBiovolCRUSRAW,propGreenCRUSRAW,totalBiovolCRUSQCpropBiovolWithTraits,totalBiovolCRUSQCpropTaxaWithTraits,SCALEDhighCusp,SCALEDhighDOCsp,SCALEDlowTPsp,SCALEDmeanZHR,SCALEDnonrefsp,SCALEDhighDOCb,SCALEDnonrefb,SCALEDpropBiovolZHR,SCALEDpropBiovolChlor,SCALEDpropGreenCRUS
514DNCLDC_10.12.10_1,SWAMP,514DNCLDC_10122010_1,514DNCLDC,10/12/10,10.12.10,1,88,0.76,96,0.945,91,0.76,Epiphyte_Macroalgae_Microalgae_Qualitative,Yes,Yes,600,309,Adequate,Adequate,0,,0.805,1,0.01,0.998333333,0,0.945,0.975308642,0.945,0.989417989,0.925925926,0.965,0.062176166,0.945,0.010582011,0.993333333,0.989932886,1,0.99,1,0.01,10,10,10,10,9,10,10,9,10,10,10,0.0000462,0.951866842,0.92,0.000016,0.951866842,0.92,0.077017113,1,1,0.052631579,0.951743011,0.76,0.086956522,0.951866842,0.92,0.043478261,0.951866842,0.92,0.217391304,0.951866842,0.92,0.708357032,1,1,0.28,0.494178516,0.708344466,0,0,0.99999977,0.971428571,8,10,7,8,10,10,10,7,9,10
532PS0071_10.12.11_1,SWAMP,532PS0071_10122011_1,532PS0071,10/12/11,10.12.11,1,83,1,88,0.856666667,88,0.856666667,Microalgae_Qualitative,Yes,Yes,600,304,Adequate,Adequate,0,,0.485,1,0.046666667,0.928333333,0.032315978,0.923333333,0.906137184,0.89,0.996254682,0.56741573,0.923333333,0.415162455,0.89,0.033707865,0.856666667,0.583657588,0.918333333,0.546279492,1,0.046666667,10,9,9,9,9,9,8,9,8,7,9,0.032751758,1,1,0.032751758,1,1,0,1,1,0,1,1,0.111111111,1,1,0.111111111,1,1,0.222222222,1,1,0.227900046,1,1,0.222222222,0.225061134,0,0,0,1,1,10,10,7,4,9,9,9,3,10,10
634PS0062_10.12.11_1,SWAMP,634PS0062_10122011_1,634PS0062,10/12/11,10.12.11,1,73,0.666666667,94,0.721666667,89,0.666666667,Microalgae_Qualitative,Yes,Yes,600,300,Adequate,Adequate,0,,0.243333333,0.993333333,0.011744966,0.84,0.009920635,0.836666667,0.766932271,0.746666667,1,0.660714286,0.84,0.404761905,0.746666667,0.011160714,0.721666667,0.651270208,0.831666667,0.583166333,0.993333333,0.011744966,8,10,10,7,10,10,8,9,8,7,10,0.01630411,1,1,0.01630411,1,1,0,1,1,0,1,0.666666667,0.166666667,1,1,0.166666667,1,1,0.166666667,1,1,0,1,1,0.166666667,0.083333333,0,0,0,1,1,10,9,6,2,7,9,9,0,10,10
553KRNAYC_10.13.11_1,SWAMP,553KRNAYC_10132011_1,553KRNAYC,10/13/11,10.13.11,1,83,0.607842969,80,0.766081871,74,0.607842969,Macroalgae_Microalgae_Qualitative,Yes,Yes,171,311,Inadequate,Adequate,0,,0.274853801,1,0.111111111,0.964912281,0.121212121,0.953216374,0.840490798,0.85380117,0.993150685,0.404109589,0.953216374,0.472392638,0.842105263,0.020833333,0.766081871,0.419847328,0.894736842,0.37254902,1,0.076023392,9,8,8,8,9,6,7,9,6,5,8,0.0000947,0.998126076,0.875,0.0000947,0.998126076,0.875,0.026257611,1,1,0.090909091,0.607842969,0.6875,0.071428571,0.998126076,0.875,0.071428571,0.998126076,0.875,0.071428571,0.998126076,0.875,0.972705943,1,1,0.3125,0.642602971,0.026257611,0,0,1,1,7,10,3,10,10,10,10,10,9,10
539NDCACC_10.15.09_1,SWAMP,539NDCACC_10152009_1,539NDCACC,10/15/09,10.15.09,1,72,0.833333333,88,0.366666667,74,0.366666667,Microalgae_Qualitative,Yes,Yes,600,300,Adequate,Adequate,0,,0.038333333,1,0.026666667,0.421666667,0.007905138,0.418333333,0.677290837,0.391666667,0.940425532,0.531914894,0.418333333,0.374501992,0.391666667,0.093617021,0.366666667,0.668181818,0.438333333,0.6121673,1,0.02,2,9,10,6,8,8,8,8,9,8,10,0.083226653,1,1,0.076801005,1,1,0,1,1,0,1,0.833333333,0.333333333,1,1,0.166666667,1,1,0,1,1,0.914363725,1,1,0.5,0.707181863,0,0,0,1,1,10,6,0,10,7,9,9,9,10,10
111WER159_10.19.09_1,SWAMP,111WER159_10192009_1,111WER159,10/19/09,10.19.09,1,48,1,80,0.97,70,0.97,Microalgae,No,Yes,600,300,Adequate,Adequate,0,,0.028333333,1,0.003333333,0.97,0.006872852,0.97,0.981099656,0.97,0.993127148,0.032646048,0.97,0.9604811,0.97,0,0.971666667,0.054888508,0.975,0.054700855,1,0.003333333,1,10,10,10,9,1,0,10,1,1,10,0.598748971,1,1,0.598748971,1,1,0,1,1,0,1,1,0.333333333,1,1,0.333333333,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,10,6,0,0,3,4,4,0,10,10
105DLCDCC_10.20.09_1,SWAMP,105DLCDCC_10202009_1,105DLCDCC,10/20/09,10.20.09,1,70,1,98,0.873333333,84,0.873333333,Microalgae,No,Yes,600,300,Adequate,Adequate,0,,0.688333333,1,0.016666667,0.886666667,0.013157895,0.876666667,0.965779468,0.873333333,1,0.788167939,0.886666667,0.186090226,0.873333333,0.005725191,0.973333333,0.943493151,0.991666667,0.942857143,1,0.016666667,10,10,9,10,10,10,10,10,10,10,10,0.078374788,1,1,0.028657672,1,1,0,1,1,0.142857143,1,1,0.285714286,1,1,0.142857143,1,1,0.142857143,1,1,0.353319294,1,1,0.428571429,0.390945361,0,0,0,1,1,6,7,5,6,8,9,9,4,10,10
106WER016_10.20.09_1,SWAMP,106WER016_10202009_1,106WER016,10/20/09,10.20.09,1,80,0.371794973,90,0.771666667,80,0.371794973,Microalgae,No,Yes,600,300,Adequate,Adequate,0,,0.27,1,0.073333333,0.863333333,0.003861004,0.863333333,0.945945946,0.771666667,1,0.416846652,0.863333333,0.395752896,0.771666667,0.004319654,0.915,0.493624772,0.921666667,0.49005425,1,0.073333333,8,9,10,10,10,7,8,10,6,6,8,0.0195082,1,1,0.010007023,1,1,0.012321268,1,1,0.1,0.371794973,0.909090909,0.181818182,1,1,0.090909091,1,1,0.090909091,1,1,0.884583666,1,1,0.363636364,0.624110015,0.012321268,0,0,0.987678732,0.909090909,7,9,3,10,9,9,9,9,9,10
518RCNAPC_10.21.09_1,SWAMP,518RCNAPC_10212009_1,518RCNAPC,10/21/09,10.21.09,1,70,0.154717886,94,0.95,78,0.154717886,Macroalgae_Microalgae_Qualitative,Yes,Yes,600,300,Adequate,Adequate,0,,0.72,1,0.048333333,0.981666667,0,0.981666667,0.913412564,0.95,0.978947368,0.792982456,0.981666667,0.203735144,0.95,0.024561404,0.968333333,0.803786575,0.985,0.79357022,1,0.048333333,10,9,10,9,9,10,10,9,10,10,9,0.00000883,1,1,0.0000069,1,1,0.002542671,1,1,0.214285714,0.154717886,0.875,0.1875,1,1,0.125,1,1,0.0625,1,1,0.875045643,1,1,0.25,0.562522822,0.022377259,0,0,1,1,4,9,2,9,8,10,10,9,9,10
507RCABRS_10.21.14_1,SWAMP,507RCABRS_10212014_1,507RCABRS,10/21/14,10.21.14,1,65,0.5,70,0.691525424,69,0.5,Microalgae,No,Yes,590,423,Adequate,Adequate,2,"""Achnanthidium rivulare","Navicula pseudotenelloides""",0.062711864,1,0.074576271,0.810169492,0.142259414,0.808474576,0.698113208,0.710169492,0.892601432,0.252983294,0.793220339,0.621794872,0.727118644,0.041958042,0.691525424,0.208333333,0.774576271,0.192560175,1,0.074576271,2,9,7,6,7,4,5,9,3,3,8,0.078491033,0.92915546,0.75,0.078491033,0.92915546,0.75,0,0,0.916666667,0,0.886453134,0.5,0.111111111,0.92915546,0.75,0.111111111,0.92915546,0.75,0,0.92915546,0.75,0,0,0.916666667,0,0,0,0,0,0.983957973,0,10,10,0,0,9,9,9,0,10
507RCBLPF_10.21.14_1,SWAMP,507RCBLPF_10212014_1,507RCBLPF,10/21/14,10.21.14,1,68,0.274469353,72,0.712374582,69,0.274469353,Epiphyte_Macroalgae_Microalgae_Qualitative,Yes,Yes,598,300,Adequate,Adequate,1,Achnanthidium rivulare,0.068561873,1,0.123745819,0.911371237,0.044036697,0.847826087,0.848126233,0.714046823,0.985948478,0.156908665,0.909698997,0.746323529,0.712374582,0.093896714,0.752508361,0.157777778,0.817725753,0.139059305,1,0.123745819,3,8,9,8,9,3,3,8,2,2,7,0.044717844,0.277537303,0.75,0.014349189,0.277537303,0.75,0,0,0,0.142857143,0.274469353,0.7,0.133333333,0.277537303,0.75,0.066666667,0.277537303,0.75,0.066666667,0.277537303,0.75,0.035638472,0,0,0.1,0.067819236,0,0,0,0.997915628,0.911764706,6,10,3,2,10,9,9,1,10,10
507DCABSF_10.22.14_1,SWAMP,507DCABSF_10222014_1,507DCABSF,10/22/14,10.22.14,1,73,0.034821531,80,0.81981982,78,0.034821531,Epiphyte_Macroalgae_Microalgae_Qualitative,Yes,Yes,555,486,Adequate,Adequate,4,"""Achnanthidium rivulare",Hassallia byssoidea,Hassallia byssoidea,"Hassallia byssoidea""",0.304504505,1,0.140540541,0.922522523,0.015625,0.922522523,0.939453125,0.825225225,0.991266376,0.517467249,0.915315315,0.399606299,0.81981982,0.01978022,0.823423423,0.485776805,0.926126126,0.441634241,1,0.140540541,9,7,9,10,9,8,8,9,6,6,7,0.119911977,0.036441717,0.709677419,0.119911977,0,0,0.0000292,0.985538109,0.935483871,0,0.034821531,0.548387097,0.045454545,0.036441717,0.709677419,0.045454545,0.036441717,0.709677419,0.045454545,0,0,0.019844477,0.985538109,0.935483871,0.193548387,0.106696432,0.0000288,0,0,0,0,10,10,2,2,10,8,8
507DCBLLB_10.22.14_1,SWAMP,507DCBLLB_10222014_1,507DCBLLB,10/22/14,10.22.14,1,75,0.238572476,90,0.726795096,80,0.238572476,Epiphyte_Macroalgae_Microalgae,No,Yes,571,330,Adequate,Adequate,4,"""Achnanthidium rivulare",Calothrix cf kossinskajae,Calothrix cf kossinskajae,"Cosmarium quadrum var minus""",0.12084063,1,0.12084063,0.875656743,0.014,0.824868651,0.874734607,0.767075306,0.993150685,0.317351598,0.872154116,0.327309237,0.761821366,0.022988506,0.726795096,0.771084337,0.726795096,0.703614458,1,0.12084063,4,8,9,9,9,5,9,9,10,9,7,0.01581894,0.829634132,0.76,0.015833408,0,0,0.001102019,0.966520229,0.96,0.076923077,0.238572476,0.52,0.052631579,0.829634132,0.76,0.105263158,0.829634132,0.76,0.052631579,0,0,0.410290097,0.966520229,0.96,0.28,0.345145049,0.001065123,0,0,0,0,8,10,2,6,9,9,9
633WIL001_10.26.09_1,SWAMP,633WIL001_10262009_1,633WIL001,10/26/09,10.26.09,1,73,0.941176471,88,0.29,81,0.29,Epiphyte_Macroalgae_Microalgae_Qualitative,Yes,Yes,600,300,Adequate,Adequate,0,,0.061666667,1,0.011666667,0.31,0,0.308333333,0.767567568,0.29,0.913793103,0.396551724,0.308333333,0.535135135,0.29,0.114942529,0.686666667,0.740291262,0.711666667,0.742388759,1,0.005,2,10,10,7,7,6,6,7,10,9,10,0.702785017,1,1,0.003545718,1,1,0.000877965,1,1,0.0625,0.998230021,0.941176471,0.117647059,1,1,0.117647059,1,1,0.117647059,1,1,0.027962756,1,1,0.352941176,0.190451966,0.000877965,0,0,1,1,8,10,4,3,9,3,9,1,10,10
514PCAPCR_10.29.14_1,SWAMP,514PCAPCR_10292014_1,514PCAPCR,10/29/14,10.29.14,1,80,0.697541125,98,0.990654206,92,0.697541125,Epiphyte_Macroalgae_Microalgae_Qualitative,Yes,Yes,428,326,Inadequate,Adequate,2,"""Achnanthidium rivulare","Mougeotia sp 7""",0.960280374,1,0,0.997663551,0,0.992990654,0.992941176,0.990654206,0.992924528,0.990566038,0.992990654,0.011764706,0.990654206,0.007075472,0.995327103,0.990610329,0.978971963,0.988066826,1,0,10,10,10,10,9,10,10,10,10,10,10,0.002066553,0.698911909,0.769230769,0.002066553,0.698911909,0.769230769,0,0,0.884615385,0,0.697541125,0.730769231,0.05,0.698911909,0.769230769,0.05,0.698911909,0.769230769,0.15,0.698911909,0.769230769,0,0,0.884615385,0.269230769,0.181695448,0.02397454,0,0,0.993628174,0,10,10,5,3,10,9,9,1,9
514PCASMR_10.29.14_1,SWAMP,514PCASMR_10292014_1,514PCASMR,10/29/14,10.29.14,1,95,0.6,100,0.968944099,98,0.6,Epiphyte_Macroalgae_Microalgae_Qualitative,Yes,Yes,483,317,Adequate,Adequate,1,Achnanthidium rivulare,0.861283644,1,0.01863354,0.973084886,0,0.968944099,0.950854701,0.968944099,1,0.950854701,0.968944099,0,0.968944099,0,0.973084886,0.972340426,0.929606625,0.971046771,1,0,10,10,10,10,10,10,10,10,10,10,10,0.0000879,0.995586428,0.714285714,0.0000879,0.995586428,0.714285714,0.002037249,0,0,0,0.995201183,0.6,0.08,0.995586428,0.714285714,0.08,0.995586428,0.714285714,0.24,0.995586428,0.714285714,0.980914891,0,0,0.314285714,0.647600302,0.967570214,0,0,0.998458905,0.893617021,10,10,8,10,9,10,10,10,9,10
634EGL005_10.3.11_1,SWAMP,634EGL005_10032011_1,634EGL005,10/3/11,10.3.11,1,72,0.928571429,96,0.787379973,86,0.787379973,Microalgae_Qualitative,Yes,Yes,729,302,Adequate,Adequate,0,,0.625514403,1,0.101508916,0.982167353,0,0.979423868,0.93837535,0.979423868,1,0.791316527,0.982167353,0.061452514,0.979423868,0,0.787379973,0.923344948,0.847736626,0.857605178,1,0,10,8,10,10,10,10,10,10,10,10,10,0.003113141,1,1,0.003113141,1,1,0.855644114,1,1,0.076923077,0.975714787,0.928571429,0.071428571,1,1,0.071428571,1,1,0.071428571,1,1,0.051334142,1,1,0.142857143,0.097095642,0.891717556,0,0,1,1,8,10,3,2,10,9,9,1,2,10
634GRF001_10.3.11_1,SWAMP,634GRF001_10032011_1,634GRF001,10/3/11,10.3.11,1,73,0.300316386,80,0.716738197,74,0.300316386,Microalgae_Qualitative,Yes,Yes,233,301,Inadequate,Adequate,0,,0.038626609,1,0.184549356,0.725321888,0,0.716738197,0.790419162,0.716738197,1,0.149700599,0.725321888,0.384615385,0.716738197,0,0.824034335,0.270833333,0.991416309,0.225108225,1,0.184549356,2,6,10,8,10,2,8,10,4,3,6,0.009453469,0.955242556,0.928571429,0.009453469,0.955242556,0.928571429,0,1,1,0,0.300316386,0.571428571,0.076923077,0.955242556,0.928571429,0.076923077,0.955242556,0.928571429,0,0.955242556,0.928571429,0.235739065,1,1,0.214285714,0.22501239,0,0,0,1,1,10,10,0,4,10,9,9,3,10,10
634HID001_10.3.11_1,SWAMP,634HID001_10032011_1,634HID001,10/3/11,10.3.11,1,73,0.55539425,82,0.898773006,76,0.55539425,Microalgae_Qualitative,Yes,Yes,652,309,Adequate,Adequate,0,,0.105828221,1,0.029141104,0.950920245,0,0.914110429,0.313758389,0.898773006,1,0.136518771,0.914110429,0.820469799,0.898773006,0,0.950920245,0.167741935,0.996932515,0.16,1,0.029141104,4,9,10,2,10,2,2,10,2,2,9,0.026866276,0.55539425,0.9,0.026866276,0.55539425,0.9,0.188750347,1,1,0,0.55539425,0.9,0.111111111,0.55539425,0.9,0.111111111,0.55539425,0.9,0,0.55539425,0.9,0.269149141,1,1,0.3,0.28457457,0.188750347,0,0,0.811249653,0.9,10,10,0,5,9,9,9,3,8,10
634R10GNL_10.3.11_1,SWAMP,634R10GNL_10032011_1,634R10GNL,10/3/11,10.3.11,1,63,0.164060256,94,0.684931507,80,0.164060256,Epiphyte_Macroalgae_Microalgae_Qualitative,Yes,Yes,219,308,Inadequate,Adequate,0,,0.136986301,1,0.114155251,0.926940639,0,0.926940639,0.827586207,0.726027397,1,0.572327044,0.926940639,0.172413793,0.926940639,0,0.684931507,0.673333333,0.881278539,0.575129534,1,0,5,8,10,8,10,9,10,10,9,7,10,0.001723277,0.977325182,0.722222222,0.000869239,0.977325182,0.722222222,0.974071268,1,1,0.090909091,0.164060256,0.611111111,0.153846154,0.977325182,0.722222222,0.076923077,0.977325182,0.722222222,0.076923077,0.977325182,0.722222222,0.007586168,1,1,0.111111111,0.05934864,0.981657436,0.144019916,0.146710972,0.999192961,0.952380952,7,9,3,1,10,9,10,1,1,8
